"人物","原始写法","起年","迄年","年度段","爵号","身份","显示色值","颜色依据","爵号依据","史料链接","是否待核","待核原因","用户修订色值","用户修订身份","用户备注"
"陳正理","陳正理","588","588","588","遂興侯","疏遠宗室（卷十五）","#984807","《陳書》卷十五：陳詳子正理嗣侯","原年表588年 I352","https://zh.wikisource.org/zh/陳書/卷15","否","","","",""
"陳立","陳立","558","558","558","豫章王","身份待核","#000000","現有來源未能確認親屬或承襲關係","既有封國紀年 chen_fief_0004：558年追封","","是","身份未有明確依據，不按陳姓推宗室；既有封國紀年 chen_fief_0004：558年追封","","",""
"陳仲華","陈仲华／陳仲華","582","588","582—588","新夷子","身份待核","#000000","現有來源未能確認親屬或承襲關係","既有封國紀年 chen_fief_0115：582年—？","","是","身份未有明確依據，不按陳姓推宗室；既有封國紀年 chen_fief_0115：582年—？","","",""
"陳休先","陳休先","","","待核","待核","年份／身份待核","#000000","具名見現有來源，但無有效顯示年度；未以姓氏推定宗室","","","是","年度或身份未詳","","",""
"陳至澤","陳至澤","571","572","571—572","臨海國世子","皇子之子（本年未襲王）","#0070C0","《陳書》卷四至澤世系；襲爵年度沿用既有封國紀年","既有封國紀年 chen_fief_0080：維基表列570年－589年；本文改定573年起","https://zh.wikisource.org/zh/陳書/卷4","否","","","",""
"陳至澤","陳至澤","573","588","573—588","臨海嗣王","嗣王","#7030A0","本項封國年度承襲紀錄（沿用已有服喪及嗣位考定；僅實際襲王階段用紫色）","既有封國紀年 chen_fief_0080：維基表列570年－589年；本文改定573年起","","是","身份／承襲年度沿用現表推定；既有封國紀年 chen_fief_0080：維基表列570年－589年；本文改定573年起","","",""
"陳伯山","陳伯山／陈伯山","560","565","560—565","鄱陽王","皇子","#C00000","《陳書》卷二十八父子名錄；陳蒨之子，該年年皇子（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯山","陳伯山／陈伯山","566","566","566","鄱陽王","原表姓名色（身份待核）","#C00000","原年表 C330","原年表566年 C330","","是","身份未有明確依據，不按陳姓推宗室","","",""
"陳伯山","陳伯山／陈伯山","567","568","567—568","鄱陽王","皇兄弟","#FF0000","《陳書》卷二十八父子名錄；陳蒨之子，該年年皇兄弟（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯山","陳伯山／陈伯山","569","588","569—588","鄱陽王","文帝皇子（太建元年後）","#BC6C64","《陳書》卷二十八父子名錄；陳蒨之子，該年年文帝皇子（太建元年後）（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯仁","陳伯仁／陈伯仁","565","565","565","廬陵王","皇子","#C00000","《陳書》卷二十八父子名錄；陳蒨之子，該年年皇子（同父兄弟年度校驗）","既有封國紀年 chen_fief_0065：565年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯仁","陳伯仁／陈伯仁","566","566","566","廬陵王","身份待核","#000000","現有來源未能確認親屬或承襲關係","既有封國紀年 chen_fief_0065：565年－589年","","是","身份未有明確依據，不按陳姓推宗室","","",""
"陳伯仁","陳伯仁／陈伯仁","567","568","567—568","廬陵王","皇兄弟","#FF0000","《陳書》卷二十八父子名錄；陳蒨之子，該年年皇兄弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0065：565年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯仁","陳伯仁／陈伯仁","569","588","569—588","廬陵王","文帝皇子（太建元年後）","#BC6C64","《陳書》卷二十八父子名錄；陳蒨之子，該年年文帝皇子（太建元年後）（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯固","陳伯固／陈伯固","565","565","565","新安王","皇子","#C00000","《陳書》卷二十八父子名錄；陳蒨之子，該年年皇子（同父兄弟年度校驗）","既有封國紀年 chen_fief_0066：565年－582年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯固","陳伯固／陈伯固","566","566","566","新安王","身份待核","#000000","現有來源未能確認親屬或承襲關係","既有封國紀年 chen_fief_0066：565年－582年","","是","身份未有明確依據，不按陳姓推宗室","","",""
"陳伯固","陳伯固／陈伯固","567","568","567—568","新安王","皇兄弟","#FF0000","《陳書》卷二十八父子名錄；陳蒨之子，該年年皇兄弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0066：565年－582年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯固","陳伯固／陈伯固","569","582","569—582","新安王","文帝皇子（太建元年後）","#BC6C64","《陳書》卷二十八父子名錄；陳蒨之子，該年年文帝皇子（太建元年後）（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯宗","陳伯宗","568","568","568","臨海王","身份待核","#000000","現有來源未能確認親屬或承襲關係","既有封國紀年 chen_fief_0080：568年－570年","","是","身份未有明確依據，不按陳姓推宗室","","",""
"陳伯宗","陳伯宗","569","570","569—570","臨海王","文帝皇子（太建元年後）","#BC6C64","《陳書》卷二十八父子名錄；陳蒨之子，該年年文帝皇子（太建元年後）（同父兄弟年度校驗）","既有封國紀年 chen_fief_0080：568年－570年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯信","陳伯信／陈伯信","560","565","560—565","衡陽王","皇子","#C00000","《陳書》卷二十八父子名錄；陳蒨之子，該年年皇子（同父兄弟年度校驗）","既有封國紀年 chen_fief_0040：560年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯信","陳伯信／陈伯信","566","566","566","衡陽王","身份待核","#000000","現有來源未能確認親屬或承襲關係","既有封國紀年 chen_fief_0040：560年－589年","","是","身份未有明確依據，不按陳姓推宗室","","",""
"陳伯信","陳伯信／陈伯信","567","568","567—568","衡陽王","皇兄弟","#FF0000","《陳書》卷二十八父子名錄；陳蒨之子，該年年皇兄弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0040：560年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯信","陳伯信／陈伯信","569","588","569—588","衡陽王","文帝皇子（太建元年後）","#BC6C64","《陳書》卷二十八父子名錄；陳蒨之子，該年年文帝皇子（太建元年後）（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯茂","陳伯茂／陈伯茂","559","559","559","始興王","身份待核","#000000","現有來源未能確認親屬或承襲關係","既有封國紀年 chen_fief_0002：559年－568年","","是","身份未有明確依據，不按陳姓推宗室","","",""
"陳伯茂","陳伯茂／陈伯茂","560","565","560—565","始興王","皇子","#C00000","《陳書》卷二十八父子名錄；陳蒨之子，該年年皇子（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯茂","陳伯茂／陈伯茂","566","566","566","始興王","原表姓名色（身份待核）","#C00000","原年表 D330","原年表566年 D330","","是","身份未有明確依據，不按陳姓推宗室","","",""
"陳伯茂","陳伯茂／陈伯茂","567","567","567","始興王","皇兄弟","#FF0000","《陳書》卷二十八父子名錄；陳蒨之子，該年年皇兄弟（同父兄弟年度校驗）","原年表567年 D331","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯茂","陳伯茂／陈伯茂","568","568","568","溫麻侯","皇兄弟","#FF0000","《陳書》卷二十八父子名錄；陳蒨之子，該年年皇兄弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0079：568年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯恭","陳伯恭／陈伯恭","565","565","565","晉安王","皇子","#C00000","《陳書》卷二十八父子名錄；陳蒨之子，該年年皇子（同父兄弟年度校驗）","既有封國紀年 chen_fief_0067：565年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯恭","陳伯恭／陈伯恭","566","566","566","晉安王","身份待核","#000000","現有來源未能確認親屬或承襲關係","既有封國紀年 chen_fief_0067：565年－589年","","是","身份未有明確依據，不按陳姓推宗室","","",""
"陳伯恭","陳伯恭／陈伯恭","567","568","567—568","晉安王","皇兄弟","#FF0000","《陳書》卷二十八父子名錄；陳蒨之子，該年年皇兄弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0067：565年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯恭","陳伯恭／陈伯恭","569","588","569—588","晉安王","文帝皇子（太建元年後）","#BC6C64","《陳書》卷二十八父子名錄；陳蒨之子，該年年文帝皇子（太建元年後）（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯智","陳伯智／陈伯智","568","568","568","永陽王","皇兄弟","#FF0000","《陳書》卷二十八父子名錄；陳蒨之子，該年年皇兄弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0078：568年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯智","陳伯智／陈伯智","569","588","569—588","永陽王","文帝皇子（太建元年後）","#BC6C64","《陳書》卷二十八父子名錄；陳蒨之子，該年年文帝皇子（太建元年後）（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯義","陳伯義／陈伯义","565","565","565","江夏王","皇子","#C00000","《陳書》卷二十八父子名錄；陳蒨之子，該年年皇子（同父兄弟年度校驗）","既有封國紀年 chen_fief_0069：565年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯義","陳伯義／陈伯义","566","566","566","江夏王","身份待核","#000000","現有來源未能確認親屬或承襲關係","既有封國紀年 chen_fief_0069：565年－589年","","是","身份未有明確依據，不按陳姓推宗室","","",""
"陳伯義","陳伯義／陈伯义","567","568","567—568","江夏王","皇兄弟","#FF0000","《陳書》卷二十八父子名錄；陳蒨之子，該年年皇兄弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0069：565年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯義","陳伯義／陈伯义","569","588","569—588","江夏王","文帝皇子（太建元年後）","#BC6C64","《陳書》卷二十八父子名錄；陳蒨之子，該年年文帝皇子（太建元年後）（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯謀","陈伯谋／陳伯謀","568","568","568","桂陽王","皇兄弟","#FF0000","《陳書》卷二十八父子名錄；陳蒨之子，該年年皇兄弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0077：568年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯謀","陈伯谋／陳伯謀","569","583","569—583","桂陽王","文帝皇子（太建元年後）","#BC6C64","《陳書》卷二十八父子名錄；陳蒨之子，該年年文帝皇子（太建元年後）（同父兄弟年度校驗）","既有封國紀年 chen_fief_0077：568年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯禮","陈伯礼／陳伯禮","565","565","565","武陵王","皇子","#C00000","《陳書》卷二十八父子名錄；陳蒨之子，該年年皇子（同父兄弟年度校驗）","既有封國紀年 chen_fief_0068：565年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯禮","陈伯礼／陳伯禮","566","566","566","武陵王","身份待核","#000000","現有來源未能確認親屬或承襲關係","既有封國紀年 chen_fief_0068：565年－589年","","是","身份未有明確依據，不按陳姓推宗室","","",""
"陳伯禮","陈伯礼／陳伯禮","567","568","567—568","武陵王","皇兄弟","#FF0000","《陳書》卷二十八父子名錄；陳蒨之子，該年年皇兄弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0068：565年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳伯禮","陈伯礼／陳伯禮","569","588","569—588","武陵王","文帝皇子（太建元年後）","#BC6C64","《陳書》卷二十八父子名錄；陳蒨之子，該年年文帝皇子（太建元年後）（同父兄弟年度校驗）","既有封國紀年 chen_fief_0068：565年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳君范","陈君范","569","588","569—588","未見確定爵號","身份待核","#000000","現有來源未能確認親屬或承襲關係","本年未見確定爵號","","是","身份未有明確依據，不按陳姓推宗室；本年未見確定爵號","","",""
"陳孝寬","陳孝寬","581","582","581—582","河東國世子","皇子之子（本年未襲王）","#0070C0","《陳書》卷二十八：叔獻子孝寬，至德元年始襲河東王","既有封國紀年 chen_fief_0090：583年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳孝寬","陳孝寬","583","588","583—588","河東嗣王","嗣王","#7030A0","本項封國年度承襲紀錄（沿用已有服喪及嗣位考定；僅實際襲王階段用紫色）","既有封國紀年 chen_fief_0090：583年－589年","","否","","","",""
"陳叔文","陳叔文／陈叔文","575","581","575—581","晉熙王","皇子","#C00000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇子（同父兄弟年度校驗）","既有封國紀年 chen_fief_0101：575年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔文","陳叔文／陈叔文","582","588","582—588","晉熙王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔平","陳叔平","583","588","583—588","湘東王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0127：583年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔匡","陳叔匡","588","588","588","太原王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0144：588年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔坦","陳叔坦","586","588","586—588","新會王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0137：586年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔忠","陳叔忠","588","588","588","未見確定爵號","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","《陳書》卷二十八明列高宗子叔忠未及封；現封國表的永城王同名條未能對證，暫不補爵號","https://zh.wikisource.org/zh/陳書/卷28","是","《陳書》卷二十八明列高宗子叔忠未及封；現封國表的永城王同名條未能對證，暫不補爵號","","",""
"陳叔明","陳叔明","573","581","573—581","宜都王","皇子","#C00000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇子（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔明","陳叔明","582","588","582—588","宜都王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0089：573年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔宣","陳叔宣","583","588","583—588","陽山王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0130：583年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔英","陳叔英","560","568","560—568","建安侯","皇弟之子（建安侯，未襲王）","#0070C0","《陳書》卷二十八：高宗第三子，天嘉元年封建安侯","既有封國紀年 chen_fief_0039：560年—569年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔英","陳叔英","569","581","569—581","豫章王","皇子","#C00000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇子（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔英","陳叔英","582","588","582—588","豫章王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔重","陳叔重","581","581","581","始興王","皇子","#C00000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇子（同父兄弟年度校驗）","既有封國紀年 chen_fief_0002：581年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔重","陳叔重","582","588","582—588","始興王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔卿","陳叔卿","572","581","572—581","建安王","皇子","#C00000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇子（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔卿","陳叔卿","582","588","582—588","建安王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔純","陳叔純","583","588","583—588","新興王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0124：583年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔堅","陳叔堅／陈叔坚","560","568","560—568","豐城侯","皇弟之子（豐城侯，未襲王）","#0070C0","《陳書》卷二十八：高宗第四子，天嘉中封豐城侯；具體始封年沿用現表推定","既有封國紀年 chen_fief_0041：560年代—569年","https://zh.wikisource.org/zh/陳書/卷28","是","身份／承襲年度沿用現表推定；既有封國紀年 chen_fief_0041：560年代—569年","","",""
"陳叔堅","陳叔堅／陈叔坚","569","581","569—581","長沙王","皇子","#C00000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇子（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔堅","陳叔堅／陈叔坚","582","588","582—588","長沙王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔敖","陳叔敖","583","588","583—588","臨賀王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0128：583年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔彪","陳叔彪","576","581","576—581","淮南王","皇子","#C00000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇子（同父兄弟年度校驗）","既有封國紀年 chen_fief_0102：576年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔彪","陳叔彪","582","588","582—588","淮南王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0102：576年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔陵","陳叔陵","562","568","562—568","康樂侯","皇弟之子（康樂侯，未襲王）","#0070C0","《陳書》卷二十八父子名錄及卷三十六康樂侯記載；原年表568年江州同見","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔陵","陳叔陵","569","581","569—581","始興王","皇子","#C00000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇子（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔隆","陳叔隆","586","588","586—588","新寧王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0136：586年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔雄","陳叔雄","582","588","582—588","巴山王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0107：582年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔慎","陳叔慎／陈叔慎","582","588","582—588","岳陽王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔虞","陳叔虞","582","588","582—588","武昌王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0108：582年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔達","陈叔达／陳叔達","582","588","582—588","義陽王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0109：582年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔榮","陳叔榮","588","588","588","新昌王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0145：588年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔韶","陈叔韶／陳叔韶","583","588","583—588","岳山王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0123：583年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔齊","陳叔齊","575","581","575—581","新蔡王","皇子","#C00000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇子（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔齊","陳叔齊","582","588","582—588","新蔡王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔儉","陳叔儉","583","588","583—588","南安王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0118：583年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔澄","陳叔澄","583","588","583—588","南郡王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0121：583年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔穆","陳叔穆","583","588","583—588","西陽王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0129：583年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔興","陳叔興","583","588","583—588","沅陵王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0126：583年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔謨","陳叔謨","586","588","586—588","巴東王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0135：586年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔獻","陳叔獻","573","580","573—580","河東王","皇子","#C00000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇子（同父兄弟年度校驗）","原年表同年爵號／現有封國有效年度；分年依據見 displayName API","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
"陳叔儼","陳叔儼","582","588","582—588","尋陽王","皇弟","#FF0000","《陳書》卷二十八父子名錄；陳頊之子，該年年皇弟（同父兄弟年度校驗）","既有封國紀年 chen_fief_0105：582年－589年","https://zh.wikisource.org/zh/陳書/卷28","否","","","",""
